Program,OptimizationLevel,CodeSizeBytes,ExecTimeSeconds,SecurityChecks,BasicBlocksCount,InstructionsCount,BranchCount,MemInstCount,MathInstCount,FloatInstCount,VectorInstCount,CallInstCount
01_hello_world.c,-O0,846,N/A,N/A,0,4,0,2,0,0,0,1
01_hello_world.c,-O1,770,N/A,N/A,0,1,0,0,0,0,0,0
01_hello_world.c,-O2,770,N/A,N/A,0,1,0,0,0,0,0,0
01_hello_world.c,-O3,770,N/A,N/A,0,1,0,0,0,0,0,0
02_arithmetic.c,-O0,703,N/A,N/A,0,28,0,23,4,0,0,0
02_arithmetic.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
02_arithmetic.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
02_arithmetic.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
03_if_else.c,-O0,669,N/A,N/A,3,13,3,8,0,0,0,0
03_if_else.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
03_if_else.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
03_if_else.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
04_while_loop.c,-O0,692,N/A,N/A,3,20,3,13,2,0,0,0
04_while_loop.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
04_while_loop.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
04_while_loop.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
05_for_loop.c,-O0,692,N/A,N/A,4,21,4,13,2,0,0,0
05_for_loop.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
05_for_loop.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
05_for_loop.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
06_nested_loops.c,-O0,727,N/A,N/A,8,31,8,17,3,0,0,0
06_nested_loops.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
06_nested_loops.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
06_nested_loops.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
07_functions.c,-O0,760,N/A,N/A,0,12,0,8,1,0,0,1
07_functions.c,-O1,454,N/A,N/A,0,3,0,0,1,0,0,0
07_functions.c,-O2,454,N/A,N/A,0,3,0,0,1,0,0,0
07_functions.c,-O3,454,N/A,N/A,0,3,0,0,1,0,0,0
08_recursion.c,-O0,823,N/A,N/A,3,21,3,11,2,0,0,2
08_recursion.c,-O1,494,N/A,N/A,3,11,3,0,3,0,0,0
08_recursion.c,-O2,1582,N/A,N/A,7,37,7,0,12,0,2,0
08_recursion.c,-O3,1582,N/A,N/A,7,37,7,0,12,0,2,0
09_arrays.c,-O0,796,N/A,N/A,0,7,0,5,0,0,0,1
09_arrays.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
09_arrays.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
09_arrays.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
10_pointers.c,-O0,656,N/A,N/A,0,9,0,8,0,0,0,0
10_pointers.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
10_pointers.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
10_pointers.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
11_array_pointers.c,-O0,797,N/A,N/A,0,11,0,9,0,0,0,1
11_array_pointers.c,-O1,438,N/A,N/A,0,1,0,0,0,0,0,0
11_array_pointers.c,-O2,438,N/A,N/A,0,1,0,0,0,0,0,0
11_array_pointers.c,-O3,438,N/A,N/A,0,1,0,0,0,0,0,0
12_structs.c,-O0,747,N/A,N/A,0,10,0,7,1,0,0,1
12_structs.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
12_structs.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
12_structs.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
13_nested_structs.c,-O0,791,N/A,N/A,0,8,0,6,0,0,0,1
13_nested_structs.c,-O1,438,N/A,N/A,0,1,0,0,0,0,0,0
13_nested_structs.c,-O2,438,N/A,N/A,0,1,0,0,0,0,0,0
13_nested_structs.c,-O3,438,N/A,N/A,0,1,0,0,0,0,0,0
14_switch_case.c,-O0,719,N/A,N/A,4,14,4,9,0,0,0,0
14_switch_case.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
14_switch_case.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
14_switch_case.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
15_ternary_op.c,-O0,650,N/A,N/A,0,9,0,5,0,0,0,0
15_ternary_op.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
15_ternary_op.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
15_ternary_op.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
16_bitwise_ops.c,-O0,667,N/A,N/A,0,14,0,10,3,0,0,0
16_bitwise_ops.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
16_bitwise_ops.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
16_bitwise_ops.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
17_float_arithmetic.c,-O0,967,N/A,N/A,0,14,0,11,0,1,0,0
17_float_arithmetic.c,-O1,438,N/A,N/A,0,1,0,0,0,0,0,0
17_float_arithmetic.c,-O2,438,N/A,N/A,0,1,0,0,0,0,0,0
17_float_arithmetic.c,-O3,438,N/A,N/A,0,1,0,0,0,0,0,0
18_type_casting.c,-O0,815,N/A,N/A,0,10,0,8,0,0,0,0
18_type_casting.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
18_type_casting.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
18_type_casting.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
19_global_vars.c,-O0,669,N/A,N/A,0,5,0,3,1,0,0,0
19_global_vars.c,-O1,456,N/A,N/A,0,3,0,1,1,0,0,0
19_global_vars.c,-O2,456,N/A,N/A,0,3,0,1,1,0,0,0
19_global_vars.c,-O3,456,N/A,N/A,0,3,0,1,1,0,0,0
20_static_vars.c,-O0,774,N/A,N/A,0,10,0,5,1,0,0,2
20_static_vars.c,-O1,532,N/A,N/A,0,8,0,4,2,0,0,0
20_static_vars.c,-O2,532,N/A,N/A,0,8,0,4,2,0,0,0
20_static_vars.c,-O3,532,N/A,N/A,0,8,0,4,2,0,0,0
21_unions.c,-O0,637,N/A,N/A,0,6,0,5,0,0,0,0
21_unions.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
21_unions.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
21_unions.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
22_enums.c,-O0,637,N/A,N/A,0,6,0,5,0,0,0,0
22_enums.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
22_enums.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
22_enums.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
23_void_pointers.c,-O0,656,N/A,N/A,0,9,0,8,0,0,0,0
23_void_pointers.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
