filename,num_functions,num_branches,num_loops,num_calls,num_memory_ops,num_arithmetic_ops
01_hello_world.ll,1,0,0,1,2,0
02_arithmetic.ll,1,0,0,0,23,4
03_if_else.ll,1,3,3,0,8,0
04_while_loop.ll,1,3,3,0,13,2
05_for_loop.ll,1,4,4,0,13,2
06_nested_loops.ll,1,8,8,0,17,3
07_functions.ll,2,0,0,1,8,3
08_recursion.ll,2,3,3,2,11,2
09_arrays.ll,1,0,0,1,5,0
10_pointers.ll,1,0,0,0,8,0
11_array_pointers.ll,1,0,0,1,9,0
12_structs.ll,1,0,0,1,7,1
13_nested_structs.ll,1,0,0,1,6,0
14_switch_case.ll,1,4,4,0,9,0
15_ternary_op.ll,1,0,0,0,5,0
16_bitwise_ops.ll,1,0,0,0,10,3
17_float_arithmetic.ll,1,0,0,0,11,1
18_type_casting.ll,1,0,0,0,8,0
19_global_vars.ll,1,0,0,0,3,1
20_static_vars.ll,2,0,0,2,5,1
21_unions.ll,1,0,0,0,5,0
22_enums.ll,1,0,0,0,5,0
23_void_pointers.ll,1,0,0,0,8,0
24_do_while.ll,1,3,3,0,8,1
25_complex_expression.ll,1,0,0,0,16,5
